법정동코드5자리,법정동코드5자리
11110,11110
11140,11140
11170,11170
11200,11200
11215,11215
11230,11230
11260,11260
11290,11290
11305,11305
11320,11320
11350,11350
11380,11380
11410,11410
11440,11440
11470,11470
11500,11500
11530,11530
11545,11545
11560,11560
11590,11590
11620,11620
11650,11650
11680,11680
11710,11710
11740,11740
41110,41110
41111,41111
41113,41113
41115,41115
41117,41117
41130,41130
41131,41131
41133,41133
41135,41135
41150,41150
41170,41170
41171,41171
41173,41173
41190,41190
41192,41192
41194,41194
41196,41196
41210,41210
41220,41220
41250,41250
41270,41270
41271,41271
41273,41273
41280,41280
41281,41281
41285,41285
41287,41287
41290,41290
41310,41310
41360,41360
41370,41370
41390,41390
41410,41410
41430,41430
41450,41450
41460,41460
41461,41461
41463,41463
41465,41465
41480,41480
41500,41500
41550,41550
41570,41570
41590,41590
41610,41610
41630,41630
41650,41650
41670,41670
41800,41800
41820,41820
41830,41830
